id,ordemdecompra,categoria,descricao,parcelamento,numcard,datacompra,previsao,qtd,fornecedor,recebido,medida
1,4220674211,Acessorios Avulsos,FECHO ROLETE C/ CHAVE EM 1 LADO (PORTA CLOSET),10,950.0,2022-12-20,2022-12-23,1,MERCADO LIVRE,2022-12-21,
2,4220674211,Acessorios Avulsos,FECHO ROLETE C/ CHAVE EM 1 LADO (PORTA BANHEIRO),10,950.0,2022-12-20,2022-12-23,1,MERCADO LIVRE,2022-12-21,
3,4220674204,Acessorios Avulsos,PUXADOR CONCHA COLONIAL COBRE ENVELHECIDO,10,950.0,2023-01-02,2023-01-06,24,MERCADO LIVRE,2023-01-05,
4,4220674206,Acessorios Avulsos,PUXADOR CONCHA COLONIAL COBRE ENVELHECIDO,10,950.0,2023-01-02,2023-01-06,10,MERCADO LIVRE,2023-01-05,
5,4210199201,Acessorios Avulsos,PUXADOR ORUY COURO NUDE COM METAL ROSÉ GOLD,6,950.0,2023-01-02,2023-01-06,9,MERCADO LIVRE,2023-01-05,
6,4220674201,,FECHO ROLETE COM CHAVE,6,950.0,2022-12-20,2022-12-21,1,MERCADO LIVRE,2022-12-21,
7,4220674201,Acessorios Avulsos,DOBRADICA INVISIVEL 3D,0,,2023-01-06,2023-01-12,3,CARPBRASIL,2023-01-12,
8,4220674204,Acessorios Avulsos,DOBRADICA INVISIVEL 3D,0,,2023-01-06,2023-01-12,3,CARPBRASIL,2023-01-12,
9,4220674204,Acessorios Avulsos,FECHO ROLETE SEM CHAVE,6,950.0,2022-12-26,2022-12-27,2,MERCADO LIVRE,2022-12-27,
10,4210199401,Serralheria,ESTRUTURA METALON TUBULAR NA COR DOURADO,0,,2023-01-02,2023-02-02,2,METAL ÍTALO,2023-01-13,
11,4220674201,Acessorios Avulsos,FECHO ROLETE SEM CHAVE,0,,,,1,ESCRITORIO,2022-12-21,
12,4210199802,Acessorios Avulsos,PUXADOR SLIM CROMADO ITALYLINE IL280 - 128MM,3,626.0,2023-01-16,2023-01-27,4,Formato puxadores,2023-01-23,
13,4210199804,Acessorios Avulsos,PUXADOR SLIM CROMADO ITALYLINE IL280 - 128MM,3,626.0,2023-01-16,2023-01-27,4,Formato puxadores,2023-01-23,
14,4210199804,Acessorios Avulsos,"FITA LED 3000K - 12V + BOTAO LIG/DESL.+ FONTE - 1,7MTS",3,626.0,2023-01-16,2023-01-24,1,Iluminin,2023-01-26,
15,4210195201,Paineis,PAINEL,0,,2022-12-06,2022-12-12,0,METAL ITALO,2022-12-20,
16,4210199805,Acessorios Avulsos,PUXADOR FACETATO RM183 ROMETAL - NATURAL,3,626.0,2023-01-16,2023-01-20,2,Valter,2023-01-17,
17,4210199805,Acessorios Avulsos,PONTEIRA PE183 - S7018 ACETINADO CROMO,0,,2023-01-16,2023-01-20,6,VALTER,2023-01-17,
18,4210199806,Acessorios Avulsos,PUXADOR SLIM CROMADO ITALYLINE IL280 - 128MM,3,626.0,2023-01-16,2023-01-27,2,Formato puxadores,2023-01-23,
19,4210199806,Porta de Aluminio,PORTA - ESPELHO PRATA C/ PERFIL ALUMINIO PRATA OCULTO - S/ PUXADOR,0,,,,4,VALTER,2023-02-06,
20,4210199807,Acessorios Avulsos,PUXADOR SLIM CROMADO ITALYLINE IL280 - 128MM,3,626.0,2023-01-16,2023-01-27,2,Formato puxadores,2023-01-23,
21,4210199807,Porta de Aluminio,PORTA - ESPELHO PRATA C/ PERFIL ALUMINIO PRATA OCULTO S/ PUXADOR,0,,,,4,VALTER,2023-02-06,
22,4210199809,Acessorios Avulsos,PUXADOR FACETATO RM183 ROMETAL - NATURAL,3,626.0,2023-01-16,2023-01-20,2,Valter,2023-01-17,
23,4210199809,Acessorios Avulsos,PONTEIRA PE183 - S7018 ACETINADO CROMO,0,,2023-01-16,2023-01-20,6,Valter,2023-01-17,
24,4210199810,Acessorios Avulsos,PUXADOR FACETATO RM183 ROMETAL - NATURAL,3,626.0,2023-01-16,2023-01-20,4,Valter,2023-01-17,
25,4210199810,Acessorios Avulsos,PONTEIRA PE183 - S7018 ACETINADO CROMO,0,,2023-01-16,,14,Valter,2023-01-17,
26,4200425101,Porta de Aluminio,PORTA ESPEHO C/ PERFIL FINO E PUX. FINO PRATA,0,,,,2,VALTER,2023-02-03,
27,4200425102,Porta de Aluminio,PORTA ESPELHO C/ PERFIL FINO E PUX 098 PRATA,0,,,,1,VALTER,2023-01-25,
28,4200425103,Porta de Aluminio,PORTA DESLIZANTE ESPELHO PRATA C/ PERFIL FINO E PUX 098 PRATA,0,,,,1,VALTER,2023-02-03,
