ordemdecompra,avulso,paineis,portaaluminio,vidros,pecaspintadas,tapecaria,serralheria,cabide,trilho,volmod,avulsol,paineisl,portaaluminiol,vidrosl,pecaspintadasl,tapecarial,serralherial,cabidel,trilhol,modulosl,avulsoq,paineisq,portaaluminioq,vidrosq,pecaspintadasq,tapecariaq,serralheriaq,cabideq,trilhoq,modulosq,totalvolumes
1000000007,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,4
1000000011,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,14
1000000012,true,true,false,false,false,false,false,false,false,true,28,2,,,,,,,,2,1,14,0,0,0,0,0,0,0,32,32
1000000013,true,true,true,false,false,false,false,false,false,true,13,2,7,,,,,,,2,1,26,1,0,0,0,0,0,0,42,44
1000000014,true,false,false,false,false,false,false,false,false,true,18,,,,,,,,,5-MEIO,1,0,0,0,0,0,0,0,0,42,43
1000000015,true,false,true,false,false,false,false,false,false,true,4,,,,,,,,,ILHA,1,0,2,0,0,0,0,0,0,10,0
1000000016,true,false,true,false,false,false,false,false,false,true,1,,7,,,,,,,ILHA,1,0,1,0,0,0,0,0,0,4,6
1000000017,true,true,true,false,false,true,false,true,true,true,13,9,7,,,,,9,9,9,1,10,1,0,0,2,0,1,1,30,34
1000000018,true,true,true,false,false,false,false,true,true,true,20,9,7,,,,,9,9,9,1,12,1,0,0,0,0,1,1,49,53
1000000019,false,false,false,false,false,false,false,false,false,true,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,4,4
1000000020,true,true,true,false,false,false,false,true,false,true,16,03,2,,,,,JUNTOS,,03,1,0,3,0,0,0,0,0,0,40,41
1000000021,true,false,false,false,false,false,false,false,false,true,20,,,,,,,,,03,1,0,0,0,0,0,0,0,0,13,14
1000000022,true,false,false,false,false,false,false,false,true,true,27,,,,,,,,4-P-FRENTE,4-P-FRENTE,2,0,0,0,0,0,0,0,1,51,54
1000000023,false,false,false,false,false,false,false,false,false,false,1,,,,,,,,,1,1,0,0,0,0,0,0,0,0,9,10
1000000024,true,false,false,false,false,false,false,false,false,true,27,,,,,,,,,3,1,0,0,0,0,0,0,0,0,25,26
1000000025,true,false,true,false,false,false,false,false,false,true,27,,9,,,,,,,3,2,0,4,0,0,0,0,0,0,53,58
1000000026,true,false,false,false,false,false,false,false,false,true,8,,,,,,,,,ILHA,1,0,0,0,0,0,0,0,0,4,5
1000000027,true,false,false,false,false,false,false,false,false,true,08,,,,,,,,,ILHA,1,0,0,0,0,0,0,0,0,3,4
1000000028,true,false,false,false,false,false,false,false,false,true,27,,,,,,,,,3,2,0,0,0,0,0,0,0,0,49,51
1000000029,true,false,false,false,false,false,false,false,false,true,3,,,,,,,,,ILHA,1,0,0,0,0,0,0,0,0,4,5
