ordemdecompra,corteinicio,cortefim,cortepausa,corteresp,customizacaoinicio,customizacaofim,customizacaopausa,customizacaoresp,coladeirainicio,coladeirafim,coladeirapausa,coladeiraresp,usinageminicio,usinagemfim,usinagempausa,usinagemresp,montageminicio,montagemfim,montagempausa,montagemresp,paineisinicio,paineisfim,paineispausa,paineisresp,embalageminicio,embalagemfim,embalagempausa,embalagemresp,observacoes,conferido,motorista,tamanho,separacao,acabamentoresp,acabamentoinicio,acabamentofim,acabamentopausa
1000000007,,,false,0,,,false,0,,,false,0,,,false,0,,,false,0,,,false,0,,,false,0,,0,,,,0,,,false
1000000011,,,false,0,,,false,0,,,false,0,,,false,0,,,false,0,,,false,0,,,false,0,,33,,,,0,,,false
1000000012,,,false,0,,,false,0,,,false,0,,,false,0,,,false,0,,,false,0,,,false,0,CARREGADO POR (BAHIANO),33,,,,0,,,false
1000000013,2022-11-29 11:21:00,2022-11-29 17:13:00,false,31,2022-11-30 08:11:00,2022-11-30 09:22:00,false,12,2022-11-30 08:15:00,2022-11-30 13:50:00,false,6,2022-11-30 10:00:00,2022-11-30 10:30:00,false,32,2022-12-08 15:45:00,2022-12-12 13:32:00,false,26,2022-12-21 08:16:00,2022-12-27 16:53:00,false,19,2022-12-28 16:05:00,2022-12-29 08:33:00,false,37,FALTANDO PORTAS DE VIDRO. 12/12 MARCOS ROCHA(OK),33,41,,,0,,,false
1000000014,2022-11-30 14:14:00,2022-12-01 09:34:00,false,23,2022-12-02 09:50:00,2022-12-02 11:32:00,false,12,2022-12-01 10:35:00,2022-12-01 14:25:00,false,6,2022-12-02 16:30:00,2022-12-03 08:00:00,false,32,2022-12-12 11:50:00,2022-12-13 13:37:00,false,26,2022-12-21 07:45:00,2022-12-21 08:12:00,false,19,2022-12-22 14:15:00,2022-12-23 07:47:00,false,37,,33,41,,,0,,,false
1000000015,2022-12-02 08:56:00,2022-12-02 10:16:00,false,31,2022-12-02 14:47:00,2022-12-03 13:00:00,false,12,2022-12-05 14:00:00,2022-12-05 17:00:00,true,9,2022-12-06 10:00:00,2022-12-06 10:10:00,false,32,2022-12-12 07:35:00,2022-12-13 16:25:00,false,7,2022-12-08 08:11:00,2022-12-08 08:11:00,false,0,2022-12-14 10:52:00,2022-12-14 11:31:00,false,37,,0,41,,,0,,,false
1000000016,2022-12-02 10:17:00,2022-12-02 11:27:00,false,31,2022-12-05 07:32:00,2022-12-05 07:40:00,false,12,2022-12-05 13:20:00,2022-12-05 14:00:00,false,6,2022-12-05 14:20:00,2022-12-05 14:30:00,false,32,2022-12-12 07:41:00,2022-12-12 13:15:00,false,21,2022-12-12 07:30:00,2022-12-12 07:30:00,false,0,2022-12-20 10:31:00,2022-12-20 10:42:00,false,37,FALTANDO PORTAS DE ALUMINIO(OK),33,41,,,0,,,false
1000000017,2022-12-19 07:40:00,2022-12-19 10:20:00,false,14,2022-12-19 16:26:00,2022-12-20 07:45:00,false,12,2022-12-19 14:00:00,2022-12-19 15:00:00,false,6,2022-12-19 15:20:00,2022-12-19 15:40:00,false,32,2022-12-20 10:15:00,2022-12-21 13:47:00,false,26,2022-12-21 16:54:00,2022-12-23 15:58:00,false,8,2022-12-29 08:35:00,2022-12-29 10:36:00,false,37,"FALTANDO ESPELHO DO PAINEL (OK DIA 12/01/2023)
PAINEL ESTOFADO (OK PRONTO E ENTREGUE PELO NEI)
PAINEL COM VIDRO FOI PARA O DEPOSITO 20/01/23",33,41,MÉDIO,,0,,,false
1000000018,2022-12-15 10:46:00,2022-12-21 11:30:00,true,14,2022-12-16 11:23:00,2022-12-21 09:33:00,true,12,2022-12-16 11:20:00,2022-12-21 11:56:00,true,9,2022-12-19 08:00:00,2022-12-19 08:46:00,false,32,2022-12-21 13:05:00,2022-12-27 10:30:00,false,21,2022-12-27 17:00:00,2022-12-29 10:22:00,false,19,2022-12-29 13:55:00,2022-12-30 08:05:00,false,37,"FALTANDO 1 PORTA DESLIZANTE 242X710 MARCOS ROCHA 30/12
FALTANDO PORTA DE VIDRO (ok dia 12/01/2023)",33,41,MÉDIO,,0,,,false
1000000019,2023-02-10 11:28:14,2023-02-10 14:05:43,false,23,2023-02-10 00:00:00,2023-02-10 00:00:00,false,0,2023-02-10 16:00:00,2023-02-10 17:10:00,false,6,2023-02-10 15:20:00,2023-02-10 15:40:00,false,32,2023-02-10 00:00:00,2023-02-10 00:00:00,false,0,2023-02-10 14:15:00,2023-02-15 09:55:00,false,35,2023-02-15 09:20:00,2023-02-15 10:35:00,false,45,,33,39,PEQUENO,,0,,,false
